Player Name,Image,Team,Playing Role,Batting Style,Bowling Style
Mohammad Nabi,,Afghanistan ,Allrounder,Right hand Bat,Right arm Offbreak
Azmatullah Omarzai,,Afghanistan ,Allrounder,Right hand Bat,Right arm Medium fast
Darwish Rasooli,,Afghanistan ,Top order Batter,Right hand Bat,Right arm Offbreak
Fareed Ahmad,,Afghanistan ,Bowler,Left hand Bat,Left arm Fast medium
Fazalhaq Farooqi,,Afghanistan ,Bowler,Right hand Bat,Left arm Fast medium
Gulbadin Naib,,Afghanistan ,Batting Allrounder,Right hand Bat,Right arm Medium fast
Ibrahim Zadran,,Afghanistan ,Opening Batter,Right hand Bat,Right arm Medium fast
Mohammad Saleem,,Afghanistan ,Bowler,Right hand Bat,Right arm Fast
Mujeeb Ur Rahman,,Afghanistan ,Bowler,Right hand Bat,Right arm Offbreak
Najibullah Zadran,,Afghanistan ,Middle order Batter,Left hand Bat,Right arm Offbreak
Naveen-ul-Haq,,Afghanistan ,Bowler,Right hand Bat,Right arm Medium fast
Qais Ahmad,,Afghanistan ,Bowler,Right hand Bat,Legbreak
Rahmanullah Gurbaz,,Afghanistan ,Wicketkeeper Batter,Right hand Bat,
Rashid Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",Afghanistan ,Bowling Allrounder,Right hand Bat,Legbreak Googly
Usman Ghani,,Afghanistan ,Opening Batter,Right hand Bat,
Hazratullah Zazai,,Afghanistan ,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Aaron Finch,,Australia ,Top order Batter,Right hand Bat,Slow Left arm Orthodox
Pat Cummins,,Australia ,Bowler,Right hand Bat,Right arm Fast
Ashton Agar,,Australia ,Bowler,Left hand Bat,Slow Left arm Orthodox
Tim David,,Australia ,Middle order Batter,Right hand Bat,Right arm Offbreak
Cameron Green,,Australia ,Batting Allrounder,Right hand Bat,Right arm Fast medium
Josh Hazlewood,,Australia ,Bowler,Left hand Bat,Right arm Fast medium
Mitchell Marsh,,Australia ,Allrounder,Right hand Bat,Right arm Medium
Glenn Maxwell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",Australia ,Batting Allrounder,Right hand Bat,Right arm Offbreak
Kane Richardson,,Australia ,Bowler,Right hand Bat,Right arm Fast medium
Steven Smith,,Australia ,Middle order Batter,Right hand Bat,Legbreak Googly
Mitchell Starc,,Australia ,Bowler,Left hand Bat,Left arm Fast
Marcus Stoinis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png",Australia ,Batting Allrounder,Right hand Bat,Right arm Medium
Matthew Wade,,Australia ,Wicketkeeper Batter,Left hand Bat,Right arm Medium
David Warner,,Australia ,Opening Batter,Left hand Bat,Legbreak
Adam Zampa,,Australia ,Bowler,Right hand Bat,Legbreak Googly
Josh Inglis,,Australia ,Wicketkeeper Batter,Right hand Bat,
Shakib Al Hasan,,Bangladesh ,Allrounder,Left hand Bat,Slow Left arm Orthodox
Afif Hossain,,Bangladesh ,Allrounder,Left hand Bat,Right arm Offbreak
Ebadot Hossain,,Bangladesh ,Bowler,Right hand Bat,Right arm Fast medium
Hasan Mahmud,,Bangladesh ,Bowler,Right hand Bat,Right arm Fast medium
Litton Das,,Bangladesh ,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Mehidy Hasan Miraz,,Bangladesh ,Allrounder,Right hand Bat,Right arm Offbreak
Mosaddek Hossain,,Bangladesh ,Middle order Batter,Right hand Bat,Right arm Offbreak
Mustafizur Rahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",Bangladesh ,Bowler,Left hand Bat,Left arm Fast medium
Najmul Hossain Shanto,,Bangladesh ,Top order Batter,Left hand Bat,Right arm Offbreak
Nasum Ahmed,,Bangladesh ,Bowler,Left hand Bat,Slow Left arm Orthodox
Nurul Hasan,,Bangladesh ,Wicketkeeper Batter,Right hand Bat,
